,OVF,RIASZ,RVTV
2020-01-01,0,0,0
2020-01-02,0,0,0
2020-01-03,0,0,0
2020-01-04,0,0,0
2020-01-05,0,0,0
2020-01-06,0,0,0
2020-01-07,0,0,0
2020-01-08,0,0,0
2020-01-09,0,0,1
2020-01-10,0,0,0
2020-01-11,0,0,0
2020-01-12,0,0,0
2020-01-13,0,0,2
2020-01-14,0,0,27
2020-01-15,0,0,29
2020-01-16,0,0,20
2020-01-17,0,0,8
2020-01-18,0,0,2
2020-01-19,0,0,0
2020-01-20,0,0,27
2020-01-21,0,0,72
2020-01-22,0,0,120
2020-01-23,0,0,65
2020-01-24,0,0,45
2020-01-25,0,0,16
2020-01-26,0,0,12
2020-01-27,0,0,52
2020-01-28,0,0,71
2020-01-29,0,0,51
2020-01-30,0,0,51
2020-01-31,0,0,25
2020-02-01,0,0,6
2020-02-02,0,0,8
2020-02-03,4,0,32
2020-02-04,0,0,32
2020-02-05,4,0,21
2020-02-06,3,0,14
2020-02-07,0,0,28
2020-02-08,0,0,13
2020-02-09,0,0,6
2020-02-10,0,0,99
2020-02-11,0,0,146
2020-02-12,0,0,146
2020-02-13,1,0,128
2020-02-14,3,0,125
2020-02-15,0,0,30
2020-02-16,1,0,23
2020-02-17,2,0,214
2020-02-18,3,0,206
2020-02-19,1,0,192
2020-02-20,0,0,141
2020-02-21,0,0,194
2020-02-22,0,0,17
2020-02-23,0,0,18
2020-02-24,0,0,119
2020-02-25,0,0,55
2020-02-26,0,0,58
2020-02-27,0,0,23
2020-02-28,0,0,27
2020-02-29,0,0,1
2020-03-01,0,0,3
2020-03-02,0,0,6
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,1
2020-03-24,3,0,0
2020-03-25,6,0,0
2020-03-26,1,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,52,0,34
2020-04-02,27,0,88
2020-04-03,33,0,37
2020-04-04,1,0,12
2020-04-05,3,0,7
2020-04-06,33,0,48
2020-04-07,30,0,80
2020-04-08,31,0,82
2020-04-09,31,0,55
